event,fast,slow,datetime,equity
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
START,8,56,2025-11-14T20:00:00,10000.00
STOP,8,56,2025-11-14T20:00:00,3783.00
