entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2024-12-04 06:25:00,2024-12-04 07:00:00,LONG,96619.728757713,96441.86850292678,-2.308381941041697,7.0,38.56533176161282,113.27586451455674,1,SL
2024-12-04 07:00:00,2024-12-04 07:05:00,SHORT,96441.86850292678,96441.86850292678,-18.278923907335177,,37.04961404790076,108.49187419208862,1,EXIT_SHORT
2024-12-04 08:10:00,2024-12-04 08:20:00,LONG,96749.34361030534,96579.75470194733,-2.2488565815507533,2.0,29.032221477026997,113.9315153486561,1,SL
2024-12-04 08:20:00,2024-12-04 08:25:00,SHORT,96579.75470194733,96579.75470194733,-17.021557059719928,,28.99696655773305,108.17640710946644,1,EXIT_SHORT
2024-12-04 19:05:00,2024-12-04 19:50:00,LONG,96306.77547032222,96975.44926728545,2.954359789187337,9.0,43.188908147856054,239.8101094060979,1,TP
2024-12-04 19:50:00,2024-12-04 20:00:00,SHORT,97024.65227989023,97024.65227989023,-71.20774153169698,,46.99831711394854,237.78259433484874,1,EXIT_SHORT
2024-12-04 22:35:00,2024-12-05 01:05:00,LONG,98456.97,98031.0606031122,-3.7519047378478256,30.0,15.447189086636556,231.8688334058648,1,SL
2024-12-05 01:05:00,2024-12-05 06:05:00,SHORT,98690.7518366985,98690.7518366985,-730.46506240995,,30.897584675515148,363.62592287624386,1,EXIT_SHORT
2024-12-05 08:55:00,2024-12-05 09:00:00,LONG,102896.32198460917,102589.01833307171,-2.743758597612754,1.0,13.789035000754769,214.34416523746899,1,
2024-12-05 09:00:00,2024-12-05 09:10:00,SHORT,102589.01833307171,102589.01833307171,-16.25874456634484,,14.52566976631392,219.69354043434748,1,EXIT_SHORT
2024-12-05 14:40:00,2024-12-05 14:50:00,LONG,103374.25782556023,103510.92928768406,-0.37298503714944387,2.0,16.02469150465157,303.480068657294,1,
2024-12-05 14:50:00,2024-12-05 14:55:00,SHORT,103510.92928768406,103510.92928768406,-9.968439446242474,,15.940632539368973,300.63434946748725,1,EXIT_SHORT
2024-12-05 15:00:00,2024-12-05 15:20:00,LONG,103510.92928768406,103510.92928768406,-1.0733717080109226e-14,,15.520624908510111,373.95848600440377,1,SL
2024-12-05 15:20:00,2024-12-05 15:25:00,SHORT,102943.93832742269,102943.93832742269,45.94629124640445,,18.256692461815206,409.4100227183748,1,EXIT_SHORT
